time [s],long accel [g],lat accel [g],vector accel [g],vert accel [g],speed [mph],distance [ft],gear [-],position X [m],position Y [m],TPS [%],Steering Position [Deg],Oil Press [PSI],Brake [V],GPS altitude [m],GPS time [s],GPS alt acc [-],GPS vel raw [mph],GPS long [degs],GPS lat [degs]
52.93,-0.114761919,-1.63E-02,0.170090243,1.017732978,0.444904685,230.0050354,1,44.23045731,-22.90955162,-2.134832144,-7.70490694,21.48750305,13.79400063,85.66600037,63602.361,3.683000088,0.581603467,-117.7296275,33.6664524
52.94,-0.115579434,-1.57E-02,0.170737892,1.019066334,0.449079901,230.0115967,1,44.23045731,-22.90955162,-2.044944286,-7.70490694,21.48750305,13.69800091,85.64099884,63602.371,3.683000088,0.581603467,-117.7296275,33.6664524
52.95,-0.116536349,-1.52E-02,0.171258122,1.020526767,0.49267289,230.0185089,1,44.23138428,-22.90843773,-2.044944286,-7.70490694,21.48750305,13.71500111,85.64099884,63602.381,3.683000088,0.134216174,-117.7296275,33.66645241
52.96,-0.117612138,-1.46E-02,0.171828374,1.022087574,0.456911504,230.0254822,1,44.23231125,-22.90732574,-2.134832144,-7.70490694,21.48750305,13.81800079,85.64099884,63602.391,3.683000088,0.134216174,-117.7296275,33.66645242
52.97,-0.118782818,-1.41E-02,0.172511384,1.023718476,0.427148491,230.0319519,1,44.23323822,-22.90621185,-2.044944286,-7.70490694,21.60000229,13.72900105,85.64099884,63602.401,3.683000088,0.134216174,-117.7296275,33.66645243
52.98,-0.120021671,-1.35E-02,0.171731934,1.02538693,0.470222682,230.0385284,1,44.23416519,-22.90509796,-2.134832144,-7.70490694,21.60000229,13.72200108,85.64099884,63602.411,3.683000088,0.134216174,-117.7296275,33.66645244
52.99,-0.121300057,-1.30E-02,0.172843948,1.027058482,0.465310007,230.0453949,1,44.23508835,-22.90398598,-2.134832144,-8.360635757,21.60000229,13.77000046,85.64099884,63602.421,3.683000088,0.134216174,-117.7296275,33.66645245
53,-0.122588232,-1.25E-02,0.174389601,1.02869761,0.457826614,230.0521698,1,44.23601532,-22.90287209,-2.044944286,-7.70490694,21.60000229,13.75600052,85.64099884,63602.431,3.683000088,0.134216174,-117.7296274,33.66645246
53.01,-0.123856254,-1.21E-02,0.174173415,1.030268788,0.501757681,230.0592041,1,44.23694229,-22.90175819,-2.134832144,-7.70490694,21.60000229,13.79100037,85.64099884,63602.441,3.683000088,0.134216174,-117.7296274,33.66645247
53.02,-0.125074849,-1.18E-02,0.174354687,1.031737208,0.47370851,230.0663452,1,44.23786926,-22.9006443,-2.134832144,-7.70490694,21.75,13.7840004,85.64099884,63602.451,3.683000088,0.134216174,-117.7296274,33.66645248
